Tin_degC,Tout_degC,Psol_Wm2,Price,Action,Reward,Done
21.389801,10.247986,187.31296,-0.8,5,-0.006853408,0.0
21.36847,10.255981,190.41225,-0.8,5,-0.013693488,0.0
21.3414,10.269501,197.07532,-0.8,3,-0.019480633,0.0
21.292877,10.26709,206.65419,-0.8,6,-0.026808161,0.0
21.24707,10.240051,205.90796,-0.8,0,-0.026869392,0.0
21.142822,10.20578,201.53075,-0.8,10,-0.036233757,0.0
21.080566,10.144318,199.75577,-0.8,10,-0.045749333,0.0
21.171387,10.086273,198.58722,-0.8,10,-0.055322982,0.0
21.253448,9.954254,198.48686,-0.8,2,-0.060628314,0.0
21.287292,9.875397,198.48686,-0.8,5,-0.0674273,0.0
21.235046,9.9904175,198.48686,-0.8,3,-0.07320356,0.0
21.177887,10.09436,198.48686,-0.8,9,-0.08211335,0.0
21.1622,10.137238,196.67934,-0.8,7,-0.090024285,0.0
21.229279,10.071045,192.1595,-0.8,5,-0.09686943,0.0
21.388367,9.998657,192.75764,-0.8,1,-0.10163074,0.0
21.51355,9.97879,195.7067,-0.8,9,-0.1105511,0.0
21.645935,10.063751,196.21275,-0.8,4,-0.11690067,0.0
21.838074,10.265259,195.86867,-0.8,5,-0.12376263,0.0
21.988678,10.423828,197.80911,-0.8,4,-0.13011442,0.0
22.112335,10.591522,201.53699,-0.8,6,-0.13755473,0.0
22.192535,10.8349,206.36,-0.8,7,-0.1455953,0.0
22.285522,11.025665,212.14528,-0.8,6,-0.15312344,0.0
22.365356,11.1822815,219.56708,-0.8,10,-0.1629432,0.0
22.460297,11.2838745,227.72612,-0.8,0,-0.16302557,0.0
22.426758,11.401672,235.20747,-0.8,3,-0.16883135,0.0
22.286804,11.502777,241.89062,-0.8,4,-0.17520553,0.0
22.196259,11.623047,247.01338,-0.8,0,-0.17525865,0.0
22.060944,11.580566,248.64229,-0.8,8,-0.1837107,0.0
21.988556,11.40329,247.29858,-0.8,8,-0.1922724,0.0
22.040314,11.288605,244.88814,-0.8,0,-0.19234389,0.0
21.964874,11.1171875,241.55486,-0.8,6,-0.19969606,0.0
21.862946,11.025513,238.15237,-0.8,5,-0.20657037,0.0
21.837982,11.091064,234.74919,-0.8,2,-0.21185304,0.0
21.779816,10.995514,231.34668,-0.8,9,-0.22081174,0.0
21.809479,10.866394,227.9442,-0.8,10,-0.230424,0.0
21.918884,10.834778,224.54172,-0.8,0,-0.23050444,0.0
21.918793,10.761108,219.41893,-0.8,0,-0.23050444,0.0
21.736176,10.798676,212.74406,-0.8,0,-0.23050444,0.0
21.510498,10.937256,212.09752,-0.8,5,-0.23725629,0.0
21.409851,10.937134,212.09752,-0.8,9,-0.24617358,0.0
21.4505,10.705811,212.09752,-0.8,3,-0.25198287,0.0
21.510376,10.419952,212.09752,-0.8,10,-0.2614737,0.0
21.576508,10.29248,212.58557,-0.8,6,-0.26890346,0.0
21.682983,10.343964,214.03445,-0.8,2,-0.27419677,0.0
21.708435,10.4198,214.418,-0.8,2,-0.27946183,0.0
21.658997,10.503571,214.14107,-0.8,5,-0.28628212,0.0
21.632355,10.638458,215.64954,-0.8,3,-0.2920814,0.0
21.610443,10.670685,218.24692,-0.8,6,-0.29945356,0.0
21.608704,10.608063,219.66606,-0.8,8,-0.307955,0.0
21.678406,10.57431,220.57085,-0.8,6,-0.31541517,0.0
21.775665,10.54657,223.24994,-0.8,2,-0.3207242,0.0
21.810211,10.544342,226.99648,-0.8,10,-0.33035275,0.0
21.856018,10.63266,229.5364,-0.8,9,-0.33955872,0.0
