time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
432000.0,283.34,293.88727,293.19067,294.87915,293.24878,293.48712,712.2256184521485,5.399739058678625e-07,-712.2256724495392
433800.0,283.76938,293.8701,293.16785,294.83395,293.2322,293.47244,712.182270209961,1.0765081528332872e-06,-712.1823778607762
435600.0,283.78,293.85052,293.15247,294.78555,293.19904,293.45084,712.1194542309571,1.6198680307332322e-06,-712.1196162177602
437400.0,282.67188,293.83502,293.1872,294.73862,293.15594,293.42004,712.050385444336,2.1817284110582416e-06,-712.0506036171771
439200.0,281.47,293.80432,293.1458,294.6782,293.1101,293.3715,711.9449363842774,2.7523775717283973e-06,-711.9452116220345
441000.0,281.33994,293.76562,293.1028,294.60773,293.07693,293.3261,711.8458115551758,0.007273428256858955,-712.5731543808618
442800.0,281.7,295.26642,294.45975,296.04376,294.58347,294.93985,715.547856904297,0.010529267353194018,-716.6007836396163
444600.0,283.09943,295.48224,294.5905,297.03156,294.761,295.08154,716.0673978710937,0.01370499091362517,-717.4378969624562
446400.0,284.52,295.57895,294.68365,297.13394,294.88333,295.18347,716.3262281811524,0.01661566576202566,-717.9877947573549
448200.0,282.83942,295.5793,294.68796,296.73438,294.90298,295.22488,716.3253579541016,0.019731881337288003,-718.2985460878305
450000.0,280.85,295.60916,294.65527,296.51947,295.34204,295.22543,716.6594162915039,0.02352595084632545,-719.0120113761365
451800.0,282.63675,295.82214,295.65027,297.24664,295.45056,295.31934,717.1603425488281,0.027560277978670444,-719.9163703466952
453600.0,284.05,295.94016,295.99094,297.34723,296.38113,295.42334,718.1025891674805,0.031419440984701084,-721.2445332659506
455400.0,282.52295,295.9784,296.04596,297.30258,295.61545,295.47055,717.5589257763672,0.03479797705787234,-721.0387234821544
457200.0,280.92,295.87167,296.01068,296.4458,295.1988,295.43866,717.0300661328125,0.03818637014852949,-720.8487031476654
459000.0,279.889,295.9037,296.0853,296.43323,295.19266,295.49078,717.0930927563477,0.04161228688501398,-721.2543214448491
460800.0,279.82,295.9648,296.2226,296.52887,295.2438,295.66058,717.3328991040039,0.04494411145714018,-721.8273102497179
462600.0,281.64413,296.31226,296.49994,297.032,295.58047,296.2408,718.3603414257813,0.048069537375887164,-723.16729516337
464400.0,283.66,296.7677,296.8681,297.67395,296.07184,296.95624,719.682644076451,0.05103035763288691,-724.7856798397397
466200.0,284.9554,297.03305,297.1574,298.12067,296.37793,297.3924,720.5179634856306,0.05386580997070531,-725.9045444827011
