time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
432000.0,283.34,293.88727,293.19067,294.87915,293.24878,293.48712,712.2256184521485,5.399739058678763e-07,-712.2256724495392
433800.0,283.76938,293.8701,293.16785,294.83395,293.2322,293.47244,712.182270209961,1.0765081528338706e-06,-712.1823778607762
435600.0,283.78,293.85052,293.15247,294.78555,293.19904,293.45084,712.1194542309571,0.00886015817642901,-713.0054700486
437400.0,282.67188,296.23926,294.97925,296.51245,295.13266,295.43173,717.0695544384766,0.013334561781767115,-718.4030106166533
439200.0,281.47,296.2435,295.03812,296.53635,295.17294,295.4835,717.155106977539,0.01620202797320111,-718.7753097748591
441000.0,281.33994,295.5687,294.79367,296.31552,294.8519,295.2561,716.2642959790039,0.01898921389879649,-718.1632173688836
442800.0,281.7,295.59714,294.7917,296.319,294.89328,295.2848,716.3366744946289,0.023408205663650986,-718.677495060994
444600.0,283.09943,296.78607,295.3147,296.59598,295.56262,295.817,718.0895771801759,0.028582874759386524,-720.9478646561145
446400.0,284.52,297.02567,295.50745,296.7087,295.79218,296.02148,718.6124412548828,0.03157198745327638,-721.7696400002104
448200.0,282.83942,295.9063,295.01672,296.50787,295.22668,295.55902,717.0513932568359,0.03160944051964971,-720.2123373088009
450000.0,280.85,294.42755,293.56708,295.033,293.76035,293.97424,713.4006037426758,0.035598715474699186,-716.9604752901457
451800.0,282.63675,296.37613,295.09808,297.2085,295.38705,295.63458,717.6135027905273,0.03860409512771957,-721.4739123032992
453600.0,284.05,295.99057,295.02057,297.1508,295.26703,295.56213,717.2163211865235,0.04176834868890843,-721.3931560554144
455400.0,282.52295,296.06613,295.0288,297.1767,296.0295,295.60544,717.9018864697266,0.044855180527013164,-722.3874045224279
457200.0,280.92,296.059,294.97464,297.16064,295.33316,295.61765,717.3484223339844,0.048006438261060165,-722.1490661600905
459000.0,279.889,296.09384,295.0123,297.1765,295.33838,295.67297,717.4235664746094,0.05117000779545658,-722.540567254155
460800.0,279.82,296.15448,295.10294,297.24008,295.394,295.84256,717.6566328320313,0.05394372875728797,-723.05100570776
462600.0,281.64413,296.43225,295.37128,297.17462,295.70004,296.4197,718.5441039746094,0.05415261482767106,-723.9593654573764
464400.0,283.66,294.57193,293.70627,295.50238,294.07132,294.4811,714.18137808524,0.05427488169169198,-719.6088662544092
466200.0,284.9554,294.5591,293.70102,295.9987,294.0109,294.6111,714.290042538365,0.05446817460031534,-719.7368599983965
468000.0,286.14,294.78384,293.95786,296.27142,294.23743,294.9053,714.9005440154158,0.054782492145894826,-720.3787932300053
469800.0,287.1693,294.71384,293.93015,296.2072,294.19894,294.89722,714.8108380339705,0.05518683584896587,-720.3295216188671
471600.0,288.03,294.77393,294.05466,296.15067,294.29886,294.95276,714.5548460522461,0.056698255998051124,-720.2246716520513
473400.0,288.27478,295.22964,294.37045,297.74628,294.58014,294.96808,715.2974896191406,0.05771099273302768,-721.0685888924434
475200.0,288.59,295.15958,294.3744,297.3658,294.52893,294.93915,715.1100516413226,0.05847995807221835,-720.9580474485444
477000.0,289.561,295.04395,294.3035,297.19394,294.50134,294.8848,714.9465683039202,0.06010401216532908,-720.9569695204532
478800.0,290.61,295.26242,294.45587,297.8124,294.67584,294.95926,715.3687872736468,0.06100354104220301,-721.4691413778671
480600.0,291.88818,295.1365,294.54236,296.56964,294.74216,295.05087,715.274704961635,0.06255678589341336,-721.5303835509764
482400.0,292.88,295.49997,294.74286,297.95828,294.9572,295.15802,715.9427423883928,0.0636536941494098,-722.3081118033339
484200.0,292.67853,295.18112,294.62,296.6216,294.86984,295.09467,715.4527609797015,0.06460543579313766,-721.9133045590153
486000.0,292.1,295.18124,294.6214,296.61572,294.92938,295.09058,715.4960792292131,0.06550126611445987,-722.0462058406591
487800.0,291.9169,295.2084,294.64563,296.6227,295.00867,295.08994,715.5781831232562,0.06637111912587444,-722.2152950358436
489600.0,291.65,295.22375,294.65533,296.6093,295.06995,295.07462,715.6231176691547,0.06718126904455277,-722.34124457361
491400.0,290.9108,295.2186,294.64038,296.5518,295.05823,295.03757,715.5724930353656,0.0678743029556026,-722.3599233309259
493200.0,289.82,295.2025,294.6099,296.4759,295.00024,294.99057,715.4667607111468,0.0684281908511164,-722.3095797962584
495000.0,288.5552,295.01477,294.40265,296.25714,294.77682,294.80005,714.9754390802875,0.068907848634799,-721.8662239437674
496800.0,287.28,294.7936,294.15863,296.00238,295.06952,294.56644,714.8289389826311,0.06937861972446335,-721.7668009550774
498600.0,286.16653,294.53506,293.89197,295.55673,295.08847,294.3122,714.4011044855608,0.07167181441728047,-721.5682859272889
500400.0,285.47,294.77194,293.88083,296.9845,296.14874,294.24106,715.5352052319336,0.0755049459927707,-723.0856998312106
502200.0,285.3602,296.84036,295.74405,298.52643,297.6102,296.57736,720.184903413086,0.0784678134130797,-728.031684754394
504000.0,285.49,297.03094,296.01367,298.31033,297.6279,296.8661,720.5464857250977,0.08109172769570114,-728.6556584946678
505800.0,285.81378,297.076,296.14874,298.29333,296.59967,296.94183,719.8354247265626,0.08385999842994697,-728.2214245695573
507600.0,285.95,297.18384,296.28897,298.27002,297.82587,296.9963,720.9255915600586,0.08668148014169524,-729.5937395742282
509400.0,285.62845,297.2352,296.29385,298.22357,297.927,297.03647,721.0624341625976,0.08920816007632779,-729.9832501702303
511200.0,285.26,297.2008,296.23398,297.9889,297.2606,297.05316,720.4920345776368,0.09172564661435657,-729.6645992390725
513000.0,284.94455,297.24243,296.2315,298.26566,296.8015,297.06183,720.1950857373048,0.09412777877121636,-729.6078636144264
514800.0,284.68,297.24933,296.2282,297.9795,296.86642,297.08478,720.2324537182617,0.09664025667114104,-729.8964793853758
516600.0,285.22446,297.31003,296.25366,298.27722,296.88705,297.1055,720.3413883496094,0.09926577653546803,-730.2679660031562
518400.0,285.94,297.3718,296.3052,298.30368,297.8113,297.13782,721.5929825756837,0.10199063767565958,-731.7920463432496
